,Subtitle,Title,Date,URL,Location_Tag,Topic_Tag
483,Press release,Russia’s aggression against Ukraine: EU adopts sixth package of sanctions,03.06.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/06/03/russia-s-aggression-against-ukraine-eu-adopts-sixth-package-of-sanctions,Ukraine,Sanctions policy || Ukraine
484,Press release,Russia: EU renews economic sanctions over the situation in Ukraine for further six months,13.01.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/01/13/russia-eu-renews-economic-sanctions-over-the-situation-in-ukraine-for-further-six-months/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Russia%3a+EU+renews+economic+sanctions+over+the+situation+in+Ukraine+for+further+six+months,Ukraine,Sanctions policy || Ukraine
485,Press release,Ukraine: EU extends sanctions over territorial integrity for a further six months,12.03.2021,https://www.consilium.europa.eu/en/press/press-releases/2021/03/12/ukraine-eu-extends-sanctions-over-territorial-integrity-for-a-further-six-months/,Ukraine,Sanctions policy
486,Statement/Declaration,Russia: Statement by the Spokesperson on the regional and local elections in Russia and their non-applicability to the territories of Ukraine,14.09.2020,https://www.eeas.europa.eu/eeas/russia-statement-spokesperson-regional-and-local-elections-russia-and-their-non-applicability_en,Ukraine,Sanctions policy
487,Press release,Ukraine: EU extends sanctions against violations of territorial integrity for a further 6 months,10.09.2020,https://www.consilium.europa.eu/en/press/press-releases/2020/09/10/ukraine-eu-extends-sanctions-against-violations-of-territorial-integrity-for-a-further-6-months/,Ukraine,Sanctions policy
488,Speech/Remark,Munich Security Conference: Speech by High Representative/Vice-President Josep Borrell on the European Security Architecture,21.02.2023,https://www.eeas.europa.eu/delegations/ukraine/munich-security-conference-speech-high-representativevice-president-josep_en,Ukraine,Security || Ukraine
489,Speech/Remark,EU Indo-Pacific Ministerial Forum: Press remarks by High Representative Josep Borrell upon arrival and following EU ministers’ meeting with Ukrainian Foreign Minister Kuleba,13.05.2023,https://www.eeas.europa.eu/eeas/eu-indo-pacific-ministerial-forum-press-remarks-high-representative-josep-borrell-upon-arrival-and_en,Ukraine,Speeches HR/VP Josep Borrell
490,Speech/Remark,Informal meeting of foreign affairs ministers (Gymnich): Press remarks by High Representative Josep Borrell at the press conference,12.05.2023,https://www.eeas.europa.eu/eeas/informal-meeting-foreign-affairs-ministers-gymnich-press-remarks-high-representative-josep-borrell_en,Ukraine,Speeches HR/VP Josep Borrell
491,Speech/Remark,Foreign Affairs Council: Remarks by High Representative Josep Borrell at the press conference,21.03.2022,https://www.eeas.europa.eu/delegations/ukraine/foreign-affairs-council-remarks-high-representative-josep-borrell-press_en,Ukraine,Strategic Compass || Ukraine
492,Council conclusions,Global food insecurity: Council approves conclusions on the Team Europe response,20.06.2022,https://www.consilium.europa.eu/en/press/press-releases/2022/06/20/global-food-insecurity-council-approves-conclusions-on-the-team-europe-response,Ukraine,Team Europe || Ukraine
493,Statement/Declaration,World Press Freedom Day: Statement by the High Representative on behalf of the European Union,02.05.2023,https://nsl.consilium.europa.eu/dg/l/104100/jb7wxjgjdvi22mmoa32qhdknibxs4rj4f6h5g7zy7rhtn4k7du3u3kj2ulyqjwz2d2j5blv6w2l4o/7ludky7yessgqzk3mxnorzgex4,Ukraine,UDHR 75
494,Q&A,Questions and answers on the 11th package of restrictive measures against Russia,23.06.2023,https://ec.europa.eu/commission/presscorner/detail/en/qanda_23_3449,Ukraine,Ukraine
495,Press release,Ukraine Recovery Conference: President von der Leyen and Executive Vice-President Dombrovskis showcase strong EU support with new €50 billion Ukraine Facility and €800 million in agreements to mobilise investment for Ukraine's recovery,21.06.2023,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_3350,Ukraine,Ukraine
496,Press release,"Ukraine: Commission proposes to set up a dedicated Facility to support Ukraine's recovery, reconstruction and modernisation",20.06.2023,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_3355,Ukraine,Ukraine
497,Q&A,Questions and Answers – A new Ukraine Facility,20.06.2023,https://ec.europa.eu/commission/presscorner/detail/en/QANDA_23_3353,Ukraine,Ukraine
498,Speech/Remark,EP Plenary: Speech by High Representative/Vice-President Josep Borrell on the torture and criminal prosecution of Ukrainian minors,14.06.2023,https://www.eeas.europa.eu/eeas/ep-plenary-speech-high-representativevice-president-josep-borrell-torture-and-criminal-prosecution_en,Ukraine,Ukraine
499,Speech/Remark,European Council: Press remarks by High Representative Josep Borrell upon arrival,23.03.2023,https://www.eeas.europa.eu/eeas/european-council-press-remarks-high-representative-josep-borrell-upon-arrival-2_en,Ukraine,Ukraine
500,Speech/Remark,EP plenary: Speeding up production and deliveries of weapons and ammunitions to Ukraine,15.03.2023,https://www.eeas.europa.eu/eeas/ep-plenary-speeding-production-and-deliveries-weapons-and-ammunitions-ukraine_en,Ukraine,Ukraine
501,Speech/Remark,Informal Foreign Affairs Council (Development): Press remarks by High Representative Josep Borrell at the press conference,09.03.2023,https://www.eeas.europa.eu/eeas/informal-foreign-affairs-council-development-press-remarks-high-representative-josep-borrell-press_en,Ukraine,Ukraine
502,Speech/Remark,Informal Foreign Affairs Council (Development): Press remarks by High Representative Josep Borrell upon arrival,09.03.2023,https://www.eeas.europa.eu/eeas/informal-foreign-affairs-council-development-press-remarks-high-representative-josep-borrell-upon-0_en,Ukraine,Ukraine
503,Statement/Declaration,G7 Leaders' Statement,24.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_23_1229,Ukraine,Ukraine
504,Statement/Declaration,Statement by the Members of the European Council,23.02.2023,https://www.consilium.europa.eu/en/press/press-releases/2023/02/23/statement-by-the-members-of-the-european-council/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Statement+by+the+Members+of+the+European+Council,Ukraine,Ukraine
505,Speech/Remark,Foreign Affairs Council: Press remarks by High Representative Josep Borrell upon arrival,20.02.2023,https://www.eeas.europa.eu/eeas/foreign-affairs-council-press-remarks-high-representative-josep-borrell-upon-arrival-6_en,Ukraine,Ukraine
506,Speech/Remark,Ukraine Defence Contact Group: Press remarks by High Representative/Vice-President Josep Borrell before the meeting at NATO HQ,14.02.2023,https://www.eeas.europa.eu/eeas/ukraine-defence-contact-group-press-remarks-high-representativevice-president-josep-borrell-meeting_en,Ukraine,Ukraine
507,Council conclusions,"European Council conclusions, 9 February 2023",10.02.2023,https://www.consilium.europa.eu/en/press/press-releases/2023/02/09/european-council-conclusions-9-february-2023/?utm_source=dsms-auto&utm_medium=email&utm_campaign=European+Council+conclusions%2c+9+February+2023,Ukraine,Ukraine
508,Speech/Remark,Statement by President von der Leyen at the joint press conference with President Michel and Ukrainian President Zelenskyy on the occasion of the special meeting of the European Council of 9 February 2023,09.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_23_722,Ukraine,Ukraine
509,Statement/Declaration,Statement by President von der Leyen at the joint press conference with President Michel and President Zelenskyy following the EU-Ukraine Summit,06.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_23_583,Ukraine,Ukraine
510,Press release,Ukraine: EU and G7 partners agree price cap on Russian petroleum products,04.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_602,Ukraine,Ukraine
511,Statement/Declaration,Joint statement following the 24th EU-Ukraine Summit,03.02.2023,https://www.consilium.europa.eu/en/press/press-releases/2023/02/03/joint-statement-following-the-24th-eu-ukraine-summit/?utm_source=dsms-auto&utm_medium=email&utm_campaign=Joint+statement+following+the+24th+EU-Ukraine+Summit,Ukraine,Ukraine
512,Speech/Remark,Opening remarks by President von der Leyen on the occasion of the meeting between the College and the government of Ukraine,02.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/SPEECH_23_567,Ukraine,Ukraine
513,Press release,"European Commission publishes analytical reports on Ukraine, Moldova, and Georgia's alignment with the EU acquis",02.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_123,Ukraine,Ukraine
514,Speech/Remark,Ukraine: Press remarks by High Representative/Vice-President Josep Borrell after the meeting with Foreign Minister Dmytro Kuleba,02.02.2023,https://www.eeas.europa.eu/eeas/ukraine-press-remarks-high-representativevice-president-josep-borrell-after-meeting-foreign-minister_en,Ukraine,Ukraine
515,Press release,Ukraine: College of Commissioners travels to Kyiv to boost EU support and sectorial cooperation with Ukraine,02.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/IP_23_461,Ukraine,Ukraine
516,Statement/Declaration,Statement by President von der Leyen at the joint press conference with Ukrainian Prime Minister Shmyhal,02.02.2023,https://ec.europa.eu/commission/presscorner/detail/en/STATEMENT_23_545,Ukraine,Ukraine
